token,centrality,length,label
STR SQUT AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND SQUT STR SQUT EQ SQUT STR,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,362,threat
STR SQUT AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND SQUT STR SQUT LIKE SQUT STR,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,369,threat
STR DQUT RPRN AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN DQUT STR DQUT EQ DQUT STR,0.06666666666666667 0.08333333333333333 0.1 0.11666666666666667 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.11666666666666667 0.1 0.08333333333333333 0.06666666666666667,368,threat
STR DQUT RPRN RPRN AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.06451612903225806 0.08064516129032258 0.0967741935483871 0.11290322580645161 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.12903225806451613 0.11290322580645161 0.0967741935483871 0.08064516129032258 0.06451612903225806,374,threat
STR DQUT AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND DQUT STR DQUT EQ DQUT STR,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,362,threat
STR DQUT AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND DQUT STR DQUT LIKE DQUT STR,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,369,threat
STR PRCNT SQUT AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND SQUT PRCNT SQUT EQ SQUT,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,360,threat
STR PRCNT DQUT AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND DQUT PRCNT DQUT EQ DQUT,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,360,threat
STR RPRN RPRN AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN LPRN INT EQ INT,0.06896551724137931 0.08620689655172414 0.10344827586206896 0.12068965517241378 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.13793103448275862 0.12068965517241378 0.10344827586206896 0.08620689655172414 0.06896551724137931,362,threat
STR RPRN RPRN RPRN AND INT EQ CONVERT INT CMMA SELECT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN LPRN LPRN INT EQ INT,0.06666666666666667 0.08333333333333333 0.1 0.11666666666666667 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.13333333333333333 0.11666666666666667 0.1 0.08333333333333333 0.06666666666666667,368,threat
STR SQUT AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT DSCMT STR,0.08 0.1 0.12 0.14 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.14 0.12 0.1 0.08,320,threat
STR SQUT RPRN RPRN RPRN AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.06557377049180328 0.0819672131147541 0.09836065573770492 0.11475409836065574 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.13114754098360656 0.11475409836065574 0.09836065573770492 0.0819672131147541 0.06557377049180328,358,threat
STR SQUT RPRN AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN SQUT STR SQUT LIKE SQUT STR,0.07017543859649122 0.08771929824561403 0.10526315789473684 0.12280701754385964 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.12280701754385964 0.10526315789473684 0.08771929824561403 0.07017543859649122,353,threat
STR SQUT AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND SQUT STR SQUT LIKE SQUT STR,0.07272727272727272 0.09090909090909091 0.10909090909090909 0.12727272727272726 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.12727272727272726 0.10909090909090909 0.09090909090909091 0.07272727272727272,347,threat
STR DQUT RPRN RPRN AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.06779661016949153 0.0847457627118644 0.1016949152542373 0.11864406779661017 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.11864406779661017 0.1016949152542373 0.0847457627118644 0.06779661016949153,352,threat
STR DQUT RPRN AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN DQUT STR DQUT LIKE DQUT STR,0.07017543859649122 0.08771929824561403 0.10526315789473684 0.12280701754385964 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.14035087719298245 0.12280701754385964 0.10526315789473684 0.08771929824561403 0.07017543859649122,353,threat
STR DQUT AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND DQUT STR DQUT LIKE DQUT STR,0.07272727272727272 0.09090909090909091 0.10909090909090909 0.12727272727272726 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.12727272727272726 0.10909090909090909 0.09090909090909091 0.07272727272727272,347,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.06779661016949153 0.0847457627118644 0.1016949152542373 0.11864406779661017 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.13559322033898305 0.11864406779661017 0.1016949152542373 0.0847457627118644 0.06779661016949153,350,threat
STR PRCNT SQUT AND INT EQ CONCAT CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT CMMA SELECT CASE WHEN INT EQ INT THEN CHAR INT ELSE CHAR INT END CMMA CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT PLUS CHAR INT AND SQUT PRCNT SQUT EQ SQUT,0.07272727272727272 0.09090909090909091 0.10909090909090909 0.12727272727272726 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.14545454545454545 0.12727272727272726 0.10909090909090909 0.09090909090909091 0.07272727272727272,338,threat
