payload,token,centrality,reqmethod,length,uagent,class,label
"rob.star@gmail.com"")) RLIKE (SELECT (CASE WHEN (1185=9016) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ((""gvIg""=""gvIg",STR DOT STAR ATR STR DOT STR DQUT RPRN RPRN RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.13333333333333333 0.16666666666666666 0.2 0.23333333333333334 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.23333333333333334 0.2 0.16666666666666666 0.13333333333333333,GET,137,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"")) RLIKE (SELECT (CASE WHEN (5426=5426) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ((""GsGQ""=""GsGQ",STR DOT STAR ATR STR DOT STR DQUT RPRN RPRN RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.13333333333333333 0.16666666666666666 0.2 0.23333333333333334 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.23333333333333334 0.2 0.16666666666666666 0.13333333333333333,GET,137,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"" RLIKE (SELECT (CASE WHEN (5426=5426) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ""gVtT""=""gVtT",STR DOT STAR ATR STR DOT STR DQUT RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND DQUT STR DQUT EQ DQUT STR,0.15384615384615385 0.19230769230769232 0.23076923076923078 0.2692307692307693 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.2692307692307693 0.23076923076923078 0.19230769230769232 0.15384615384615385,GET,133,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"" RLIKE (SELECT (CASE WHEN (6075=6593) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ""oxqS"" LIKE ""oxqS",STR DOT STAR ATR STR DOT STR DQUT RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND DQUT STR DQUT LIKE DQUT STR,0.15384615384615385 0.19230769230769232 0.23076923076923078 0.2692307692307693 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.2692307692307693 0.23076923076923078 0.19230769230769232 0.15384615384615385,GET,138,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"" RLIKE (SELECT (CASE WHEN (5426=5426) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ""rpJS"" LIKE ""rpJS",STR DOT STAR ATR STR DOT STR DQUT RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND DQUT STR DQUT LIKE DQUT STR,0.15384615384615385 0.19230769230769232 0.23076923076923078 0.2692307692307693 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.2692307692307693 0.23076923076923078 0.19230769230769232 0.15384615384615385,GET,138,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com%') RLIKE (SELECT (CASE WHEN (3743=9071) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ('%'=',STR DOT STAR ATR STR DOT STR PRCNT SQUT RPRN RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND LPRN SQUT PRCNT SQUT EQ SQUT,0.14285714285714285 0.17857142857142855 0.21428571428571427 0.25 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.25 0.21428571428571427 0.17857142857142855 0.14285714285714285,GET,129,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com%')) RLIKE (SELECT (CASE WHEN (1444=5185) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND (('%'=',STR DOT STAR ATR STR DOT STR PRCNT SQUT RPRN RPRN RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.13333333333333333 0.16666666666666666 0.2 0.23333333333333334 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.26666666666666666 0.23333333333333334 0.2 0.16666666666666666 0.13333333333333333,GET,131,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com%' RLIKE (SELECT (CASE WHEN (6041=3801) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND '%'=',STR DOT STAR ATR STR DOT STR PRCNT SQUT RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND SQUT PRCNT SQUT EQ SQUT,0.15384615384615385 0.19230769230769232 0.23076923076923078 0.2692307692307693 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.2692307692307693 0.23076923076923078 0.19230769230769232 0.15384615384615385,GET,127,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com%"" RLIKE (SELECT (CASE WHEN (8196=8381) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END)) AND ""%""=""",STR DOT STAR ATR STR DOT STR PRCNT DQUT RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND DQUT PRCNT DQUT EQ DQUT,0.15384615384615385 0.19230769230769232 0.23076923076923078 0.2692307692307693 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.3076923076923077 0.2692307692307693 0.23076923076923078 0.19230769230769232 0.15384615384615385,GET,127,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com RLIKE (SELECT (CASE WHEN (4520=4974) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END))-- zsAX,STR DOT STAR ATR STR DOT STR RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END DSCMT STR,0.2 0.25 0.30000000000000004 0.35000000000000003 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.35000000000000003 0.30000000000000004 0.25 0.2,GET,122,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com RLIKE (SELECT (CASE WHEN (5426=5426) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END))-- Qbnn,STR DOT STAR ATR STR DOT STR RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END DSCMT STR,0.2 0.25 0.30000000000000004 0.35000000000000003 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.35000000000000003 0.30000000000000004 0.25 0.2,GET,122,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com RLIKE (SELECT (CASE WHEN (4669=1281) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END))# qIPF,STR DOT STAR ATR STR DOT STR RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END HASH STR,0.2 0.25 0.30000000000000004 0.35000000000000003 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.35000000000000003 0.30000000000000004 0.25 0.2,GET,121,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com RLIKE (SELECT (CASE WHEN (5426=5426) THEN 0x726f622e7374617240676d61696c2e636f6d ELSE 0x28 END))# wtoR,STR DOT STAR ATR STR DOT STR RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END HASH STR,0.2 0.25 0.30000000000000004 0.35000000000000003 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.35000000000000003 0.30000000000000004 0.25 0.2,GET,121,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com) AND MAKE_SET(6027=7705,7705)-- vfYW",STR DOT STAR ATR STR DOT STR RPRN AND STR INT EQ INT CMMA INT DSCMT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,GET,55,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com) AND MAKE_SET(5180=5180,7930)-- rmIe",STR DOT STAR ATR STR DOT STR RPRN AND STR INT EQ INT CMMA INT DSCMT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,GET,55,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com' AND MAKE_SET(2345=1400,1400)-- Kbei",STR DOT STAR ATR STR DOT STR SQUT AND STR INT EQ INT CMMA INT DSCMT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,GET,55,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com) AND MAKE_SET(3157=2808,2808) AND (6677=6677",STR DOT STAR ATR STR DOT STR RPRN AND STR INT EQ INT CMMA INT AND LPRN INT EQ INT,0.21052631578947367 0.2631578947368421 0.3157894736842105 0.3684210526315789 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.42105263157894735 0.3684210526315789 0.3157894736842105 0.2631578947368421 0.21052631578947367,GET,63,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com)) AND MAKE_SET(9213=3444,3444) AND ((7844=7844",STR DOT STAR ATR STR DOT STR RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN INT EQ INT,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,GET,65,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com)) AND MAKE_SET(5180=5180,7930) AND ((7341=7341",STR DOT STAR ATR STR DOT STR RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN INT EQ INT,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,GET,65,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com))) AND MAKE_SET(6299=8109,8109) AND (((5471=5471",STR DOT STAR ATR STR DOT STR RPRN RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN LPRN INT EQ INT,0.17391304347826086 0.21739130434782608 0.2608695652173913 0.30434782608695654 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.30434782608695654 0.2608695652173913 0.21739130434782608 0.17391304347826086,GET,67,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com AND MAKE_SET(5180=5180,7930)",STR DOT STAR ATR STR DOT STR AND STR INT EQ INT CMMA INT,0.3076923076923077 0.38461538461538464 0.46153846153846156 0.5384615384615385 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.5384615384615385 0.46153846153846156 0.38461538461538464 0.3076923076923077,GET,47,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com') AND MAKE_SET(5180=5180,7930) AND ('vUIg'='vUIg",STR DOT STAR ATR STR DOT STR SQUT RPRN AND STR INT EQ INT CMMA INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.17391304347826086 0.21739130434782608 0.2608695652173913 0.30434782608695654 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.30434782608695654 0.2608695652173913 0.21739130434782608 0.17391304347826086,GET,67,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com'))) AND MAKE_SET(1036=8786,8786) AND ((('JGTu'='JGTu",STR DOT STAR ATR STR DOT STR SQUT RPRN RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,GET,71,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com'))) AND MAKE_SET(5180=5180,7930) AND ((('xxaK'='xxaK",STR DOT STAR ATR STR DOT STR SQUT RPRN RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.14814814814814814 0.18518518518518517 0.2222222222222222 0.25925925925925924 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.2962962962962963 0.25925925925925924 0.2222222222222222 0.18518518518518517 0.14814814814814814,GET,71,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com' AND MAKE_SET(9893=8050,8050) AND 'FamG'='FamG",STR DOT STAR ATR STR DOT STR SQUT AND STR INT EQ INT CMMA INT AND SQUT STR SQUT EQ SQUT STR,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,GET,65,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com' AND MAKE_SET(5180=5180,7930) AND 'YMsd'='YMsd",STR DOT STAR ATR STR DOT STR SQUT AND STR INT EQ INT CMMA INT AND SQUT STR SQUT EQ SQUT STR,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,GET,65,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com') AND MAKE_SET(5180=5180,7930) AND ('hkPt' LIKE 'hkPt",STR DOT STAR ATR STR DOT STR SQUT RPRN AND STR INT EQ INT CMMA INT AND LPRN SQUT STR SQUT LIKE SQUT STR,0.17391304347826086 0.21739130434782608 0.2608695652173913 0.30434782608695654 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.30434782608695654 0.2608695652173913 0.21739130434782608 0.17391304347826086,GET,72,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com')) AND MAKE_SET(5180=5180,7930) AND (('hWco' LIKE 'hWco",STR DOT STAR ATR STR DOT STR SQUT RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN SQUT STR SQUT LIKE SQUT STR,0.16 0.2 0.24 0.28 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.28 0.24 0.2 0.16,GET,74,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com' AND MAKE_SET(8890=6429,6429) AND 'ryxE' LIKE 'ryxE",STR DOT STAR ATR STR DOT STR SQUT AND STR INT EQ INT CMMA INT AND SQUT STR SQUT LIKE SQUT STR,0.19047619047619047 0.23809523809523808 0.2857142857142857 0.3333333333333333 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.38095238095238093 0.3333333333333333 0.2857142857142857 0.23809523809523808 0.19047619047619047,GET,70,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"") AND MAKE_SET(3603=2974,2974) AND (""IGmA""=""IGmA",STR DOT STAR ATR STR DOT STR DQUT RPRN AND STR INT EQ INT CMMA INT AND LPRN DQUT STR DQUT EQ DQUT STR,0.17391304347826086 0.21739130434782608 0.2608695652173913 0.30434782608695654 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.30434782608695654 0.2608695652173913 0.21739130434782608 0.17391304347826086,GET,67,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"") AND MAKE_SET(5180=5180,7930) AND (""Ydwr""=""Ydwr",STR DOT STAR ATR STR DOT STR DQUT RPRN AND STR INT EQ INT CMMA INT AND LPRN DQUT STR DQUT EQ DQUT STR,0.17391304347826086 0.21739130434782608 0.2608695652173913 0.30434782608695654 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.34782608695652173 0.30434782608695654 0.2608695652173913 0.21739130434782608 0.17391304347826086,GET,67,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"")) AND MAKE_SET(1384=2359,2359) AND ((""GIQk""=""GIQk",STR DOT STAR ATR STR DOT STR DQUT RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.16 0.2 0.24 0.28 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.28 0.24 0.2 0.16,GET,69,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
"rob.star@gmail.com"")) AND MAKE_SET(5180=5180,7930) AND ((""JgWu""=""JgWu",STR DOT STAR ATR STR DOT STR DQUT RPRN RPRN AND STR INT EQ INT CMMA INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.16 0.2 0.24 0.28 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.28 0.24 0.2 0.16,GET,69,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
